County,Continuum of Care
Alameda County,Alameda County CoC
Alpine County,"Alpine, Inyo, Mono Counties CoC"
Inyo County,"Alpine, Inyo, Mono Counties CoC"
Mono County,"Alpine, Inyo, Mono Counties CoC"
Amador County,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC"
Calaveras County,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC"
Mariposa County,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC"
Tuolumne County,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC"
Butte County,Butte County CoC
Colusa County,"Colusa, Glenn, Trinity Counties CoC"
Glenn County,"Colusa, Glenn, Trinity Counties CoC"
Trinity County,"Colusa, Glenn, Trinity Counties CoC"
Contra Costa County,Contra Costa County CoC
El Dorado County,El Dorado County CoC
Fresno County,"Fresno, Madera Counties CoC"
Madera County,"Fresno, Madera Counties CoC"
Humboldt County,Humboldt County CoC
Imperial County,Imperial County CoC
Kern County,Kern County CoC
Kings County,"Kings, Tulare Counties CoC"
Tulare County,"Kings, Tulare Counties CoC"
Lake County,Lake County CoC
Los Angeles County,Los Angeles County CoC
Marin County,Marin County CoC
Mendocino County,Mendocino County CoC
Merced County,Merced County CoC
Monterey County,"Monterey, San Benito Counties CoC"
San Benito County,"Monterey, San Benito Counties CoC"
Napa County,Napa County CoC
Nevada County,Nevada County CoC
Orange County,Orange County CoC
Placer County,Placer County CoC
Riverside County,Riverside County CoC
Sacramento County,Sacramento County CoC
San Bernardino County,San Bernardino County CoC
San Diego County,San Diego County CoC
San Francisco County,San Francisco CoC
San Joaquin County,San Joaquin County CoC
San Luis Obispo County,San Luis Obispo County CoC
San Mateo County,San Mateo County CoC
Santa Barbara County,Santa Barbara County CoC
Santa Clara County,Santa Clara County CoC
Santa Cruz County,Santa Cruz County CoC
Shasta County,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC"
Siskiyou County,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC"
Lassen County,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC"
Plumas County,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC"
Del Norte County,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC"
Modoc County,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC"
Sierra County,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC"
Solano County,Solano County CoC
Sonoma County,Sonoma County CoC
Stanislaus County,Stanislaus County CoC
Tehama County,Tehama County CoC
Ventura County,Ventura County CoC
Yolo County,Yolo County CoC
Yuba County,"Yuba, Sutter Counties CoC"
Sutter County,"Yuba, Sutter Counties CoC"
